City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
804,port alfred,za,70.5,light rain,-33.5906,26.891,The Halyards Hotel
805,noyabrsk,ru,29.64,overcast clouds,63.1994,75.4507,Hotel Uyutnaya
806,lorengau,pg,84.58,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
807,hilo,us,80.26,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
808,makat,kz,38.64,few clouds,47.6469,53.3463,Umit
809,bluff,nz,60.37,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
810,maracas,br,67.64,overcast clouds,-13.4411,-40.4308,Pousada Vale Aprazível
811,rikitea,pf,78.31,broken clouds,-23.1203,-134.9692,People ThankYou
812,krabi,th,83.05,mist,8.0726,98.9105,Tharapark View Hotel
813,henties bay,na,63.0,clear sky,-22.116,14.2845,Fishermans Guest House
814,cape town,za,63.01,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
815,bluff,nz,60.37,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
816,sao filipe,cv,71.91,broken clouds,14.8961,-24.4956,Hotel Xaguate
817,severo-kurilsk,ru,30.06,scattered clouds,50.6789,156.125,Kak Doma
818,vaini,to,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
819,georgetown,sh,79.47,overcast clouds,-7.9333,-14.4167,Scout's Beach Hut Campsite
820,punta arenas,cl,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
823,nikolskoye,ru,21.7,few clouds,59.7035,30.7861,Tourist House - Sablino
824,busselton,au,66.16,broken clouds,-33.65,115.3333,Observatory Guest House
825,pevek,ru,-9.56,overcast clouds,69.7008,170.3133,Severnoye Zoloto
826,georgetown,sh,79.47,overcast clouds,-7.9333,-14.4167,Scout's Beach Hut Campsite
827,kudahuvadhoo,mv,81.41,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
828,qaanaaq,gl,11.73,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
829,darnah,ly,57.27,clear sky,32.767,22.6367,فندق الفردوس
830,albany,au,64.83,overcast clouds,-35.0169,117.8917,Dog Rock Motel
832,mar del plata,ar,58.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
833,namatanai,pg,84.67,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
834,longkou,cn,43.09,overcast clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
835,castro,cl,51.28,scattered clouds,-42.4721,-73.7732,Hotel Esmeralda
836,hermanus,za,66.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
837,biak,id,76.91,overcast clouds,-0.9131,122.8766,Penginapan Kim
839,balinsasayao,ph,77.79,overcast clouds,10.6815,124.9594,Castanas Spring Resort
840,qaanaaq,gl,11.73,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
841,georgetown,sh,79.47,overcast clouds,-7.9333,-14.4167,Scout's Beach Hut Campsite
842,kapaa,us,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
843,butaritari,ki,81.07,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
844,albany,au,64.83,overcast clouds,-35.0169,117.8917,Dog Rock Motel
845,punta arenas,cl,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
847,ushuaia,ar,44.22,scattered clouds,-54.8,-68.3,Albatross Hotel
848,cape town,za,63.01,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
849,bredasdorp,za,61.25,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
850,albany,au,64.83,overcast clouds,-35.0169,117.8917,Dog Rock Motel
851,nyimba,zm,65.05,scattered clouds,-14.5566,30.8149,Dali Dali Lodge
852,carnarvon,au,71.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
853,hithadhoo,mv,81.52,clear sky,-0.6,73.0833,Scoop Guest House
854,albany,au,64.83,overcast clouds,-35.0169,117.8917,Dog Rock Motel
855,straumen,no,26.6,light snow,63.8709,11.2999,Jægtvolden Fjordhotell
856,narsaq,gl,28.04,broken clouds,60.9167,-46.05,Sleep In Narsaq
858,broken hill,au,61.56,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
859,georgetown,sh,79.47,overcast clouds,-7.9333,-14.4167,Scout's Beach Hut Campsite
861,guapi,co,75.47,light rain,2.5708,-77.8854,Hotel Emperador Guapí
863,chuy,uy,73.22,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
864,bud,no,28.35,few clouds,62.9088,6.9145,Lisjesundet
865,portland,au,61.68,broken clouds,-38.3333,141.6,Portland Holiday Village
866,albany,au,64.83,overcast clouds,-35.0169,117.8917,Dog Rock Motel
867,sao filipe,cv,71.91,broken clouds,14.8961,-24.4956,Hotel Xaguate
868,jhelum,pk,69.75,clear sky,32.9331,73.7264,Tulip Riverside Hotel And Restaurant Jehlum
869,broken hill,au,61.56,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
870,pavlovsk,ru,46.11,overcast clouds,50.4578,40.1081,Grand-Otel'
871,dolores,ar,59.45,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
872,qaanaaq,gl,11.73,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
873,port elizabeth,za,66.31,few clouds,-33.918,25.5701,39 On Nile Guest House
874,punta arenas,cl,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
875,tasiilaq,gl,26.76,overcast clouds,65.6145,-37.6368,The Red House
876,los algarrobos,pa,84.61,scattered clouds,8.5,-82.4333,Waterfall Hostel
